Point_ID,Total_Neighbors
0,5.000000
1,7.000000
2,10.000000
3,11.000000
4,5.000000
5,11.000000
6,12.000000
7,13.000000
8,15.000000
9,14.000000
10,4.000000
11,12.000000
12,9.000000
13,15.000000
14,17.000000
15,11.000000
16,14.000000
17,14.000000
18,13.000000
19,8.000000
20,12.000000
21,13.000000
22,9.000000
23,8.000000
24,6.000000
25,7.000000
26,12.000000
27,4.000000
28,11.000000
29,13.000000
30,7.000000
31,11.000000
32,10.000000
33,7.000000
34,12.000000
35,5.000000
36,10.000000
37,7.000000
38,5.000000
39,3.000000
40,6.000000
41,10.000000
42,7.000000
43,7.000000
44,6.000000
45,6.000000
46,11.000000
47,11.000000
48,5.000000
49,9.000000
50,4.000000
51,3.000000
52,4.000000
53,5.000000
54,7.000000
55,7.000000
56,10.000000
57,6.000000
58,9.000000
59,9.000000
60,6.000000
61,13.000000
62,10.000000
63,7.000000
64,6.000000
65,7.000000
66,7.000000
67,4.000000
68,9.000000
69,6.000000
70,10.000000
71,12.000000
72,10.000000
73,9.000000
74,8.000000
75,8.000000
76,8.000000
77,8.000000
78,10.000000
79,9.000000
80,10.000000
81,14.000000
82,12.000000
83,13.000000
84,12.000000
85,10.000000
86,9.000000
87,6.000000
88,10.000000
89,8.000000
90,8.000000
91,13.000000
92,7.000000
93,10.000000
94,5.000000
95,8.000000
96,11.000000
97,13.000000
98,13.000000
99,16.000000
100,10.000000
101,9.000000
102,12.000000
103,10.000000
104,8.000000
105,7.000000
106,8.000000
107,8.000000
108,17.000000
109,11.000000
110,12.000000
111,2.000000
112,10.000000
113,9.000000
114,8.000000
115,13.000000
116,15.000000
117,9.000000
118,18.000000
119,7.000000
120,4.000000
121,19.000000
122,13.000000
123,12.000000
124,20.000000
125,14.000000
126,18.000000
127,19.000000
128,13.000000
129,12.000000
130,12.000000
131,20.000000
132,20.000000
133,17.000000
134,18.000000
135,10.000000
136,11.000000
137,12.000000
138,19.000000
139,12.000000
140,13.000000
141,23.000000
142,15.000000
143,14.000000
144,14.000000
145,19.000000
146,12.000000
147,8.000000
148,15.000000
149,17.000000
150,6.000000
151,23.000000
152,14.000000
153,9.000000
154,14.000000
155,8.000000
156,9.000000
157,17.000000
158,17.000000
159,3.000000
160,13.000000
161,9.000000
162,18.000000
163,11.000000
164,8.000000
165,19.000000
166,16.000000
167,7.000000
168,16.000000
169,16.000000
170,9.000000
171,18.000000
172,12.000000
173,15.000000
174,13.000000
175,17.000000
176,13.000000
177,14.000000
178,17.000000
179,13.000000
180,17.000000
181,16.000000
182,16.000000
183,15.000000
184,17.000000
185,8.000000
