Point_ID,Total_Neighbors
0,33.000000
1,12.000000
2,9.000000
3,10.000000
4,13.000000
5,11.000000
6,11.000000
7,9.000000
8,14.000000
9,10.000000
10,11.000000
11,9.000000
12,18.000000
13,29.000000
14,25.000000
15,37.000000
16,22.000000
17,34.000000
18,19.000000
19,13.000000
20,21.000000
21,12.000000
22,18.000000
23,25.000000
24,30.000000
25,12.000000
26,8.000000
27,10.000000
28,15.000000
29,14.000000
30,11.000000
31,11.000000
32,12.000000
33,7.000000
34,9.000000
35,14.000000
36,16.000000
37,15.000000
38,14.000000
39,13.000000
40,10.000000
41,19.000000
42,19.000000
43,18.000000
44,15.000000
45,11.000000
46,16.000000
47,11.000000
48,13.000000
49,14.000000
50,13.000000
51,9.000000
52,8.000000
53,12.000000
54,25.000000
55,25.000000
56,10.000000
57,33.000000
58,44.999998
59,45.000000
60,40.000000
61,34.000000
62,33.000000
63,44.000000
64,14.000000
65,7.000000
66,34.000000
67,50.000000
68,43.000000
69,50.000000
70,52.000000
71,50.000000
72,48.000000
73,56.000000
74,54.000000
75,50.000000
76,42.000000
77,26.000000
78,18.000000
79,44.000000
80,50.000000
81,46.000000
82,54.000000
83,41.000000
84,39.000000
85,51.000000
86,50.000000
87,52.000000
88,51.000000
89,38.000000
90,36.000000
91,54.000000
92,54.000000
93,49.000000
94,53.999998
95,59.000000
96,57.000000
97,57.000000
98,58.000000
99,58.000000
100,43.000000
101,2.000000
102,15.000000
103,21.000000
104,24.000000
105,28.000000
106,32.000000
107,24.000000
108,48.000000
109,31.000000
110,52.000000
111,36.000000
112,29.000000
113,4.000000
114,13.000000
115,12.000000
116,14.000000
117,11.000000
118,15.000000
119,12.000000
120,14.000000
121,15.000000
122,19.000000
123,15.000000
124,15.000000
125,48.000306
126,13.000000
127,19.000000
128,19.000000
129,11.000000
130,21.000000
131,25.000000
132,31.000000
133,6.000000
134,13.000000
135,14.000000
136,34.000000
137,41.000306
138,40.000000
139,29.000000
140,39.000000
141,41.000000
142,49.000000
143,42.000000
144,54.000000
145,58.000000
146,56.000000
147,57.000000
148,56.000000
149,58.000000
150,13.000000
151,11.000000
152,16.000000
153,22.000000
154,11.000000
155,9.000000
156,12.000000
157,17.000000
158,25.000000
159,23.000000
160,19.000000
161,18.000000
162,18.000000
163,19.000000
164,19.000000
165,23.000000
166,24.000000
167,25.000000
168,24.000000
169,23.000000
170,22.000000
171,17.000000
172,24.000000
173,27.000000
174,29.000000
175,27.000000
176,14.000000
177,15.000000
178,20.000000
179,23.000000
180,9.000000
181,11.000000
182,8.000000
183,10.000000
184,15.000000
185,11.000000
186,11.000000
187,11.000000
188,12.000000
189,22.000000
190,26.000000
191,22.000000
192,22.000000
193,18.000000
194,23.000000
195,14.000000
196,16.000000
197,17.000000
198,19.000000
199,18.000000
200,33.000000
201,6.000000
202,8.000000
203,2.000000
204,5.000000
205,22.000000
206,16.000000
207,18.000000
208,19.000000
209,19.000000
210,31.000000
211,32.000000
212,32.000000
213,7.000000
214,25.000000
215,22.000000
216,23.000000
217,30.000000
218,17.000000
219,15.000000
220,29.000000
221,24.000000
222,15.000000
223,12.000000
224,17.000000
225,32.000000
226,16.000000
227,23.000000
228,33.000000
229,29.000000
230,18.001249
231,26.000000
232,31.000000
233,21.001249
234,24.000000
235,28.000000
236,29.000000
237,29.000000
238,33.000000
239,38.000000
240,39.000000
241,36.000000
242,31.000000
243,29.000000
244,41.000000
245,30.000000
246,37.000000
247,37.000000
248,38.000000
249,39.000000
250,39.000000
251,27.000000
252,13.000000
253,18.000000
254,23.000000
255,21.000000
256,24.000000
257,30.000000
258,29.000000
259,28.000000
260,26.000000
261,28.000000
262,30.000000
263,24.000000
264,17.000000
265,32.000000
266,22.000000
267,31.000000
268,30.000000
269,32.000000
270,32.000000
271,34.000000
272,34.000000
273,27.000000
274,31.000075
275,34.000000
276,33.000000
277,45.000000
278,41.000000
279,35.000000
280,28.000000
281,30.000000
282,29.000000
283,21.000000
284,23.000000
285,27.000000
286,27.000000
287,22.000000
288,32.000000
289,17.000000
290,24.000000
291,24.000000
292,26.000000
293,27.000000
294,23.000075
295,34.000000
296,34.000000
297,35.000000
298,37.000000
299,38.000000
300,34.000000
301,30.000000
302,33.000000
303,35.000000
304,34.000000
305,35.000000
306,39.000000
307,24.000000
308,23.000000
309,21.000000
310,23.000000
311,11.000000
312,18.000000
313,23.000000
314,53.000000
315,44.000000
316,46.000000
317,57.000000
318,40.000000
319,41.000000
320,35.000000
321,40.000000
322,32.000000
323,25.000000
324,32.000000
325,53.000000
326,34.000000
327,43.000000
328,45.000000
329,33.000000
330,31.000000
331,37.000000
332,35.000000
333,39.000000
334,44.000000
335,38.999999
336,35.000000
337,39.000000
338,40.000000
339,51.000000
340,50.000000
341,48.000000
342,46.000000
343,47.000000
344,47.000000
345,46.000000
346,51.000000
347,47.000000
348,45.000000
349,52.000000
350,38.000000
351,18.000000
352,24.000000
353,30.000000
354,28.000000
355,25.000000
356,23.000000
357,27.000000
358,39.000000
359,44.000000
360,36.000000
361,27.000000
362,26.000000
363,36.000000
364,29.000000
365,27.000000
366,21.000000
367,17.000000
368,17.000000
369,23.000000
370,32.000000
371,32.000000
372,28.000000
373,22.000000
374,32.000000
375,39.000000
376,54.000000
377,53.000000
378,47.000000
379,45.000000
380,42.000000
381,36.000000
382,51.000000
383,49.000000
384,41.000000
385,37.000000
386,44.000000
387,45.000000
388,47.000000
389,52.000000
390,43.000000
391,32.000000
392,37.000000
393,35.000000
394,33.000000
395,35.000000
396,32.999999
397,37.000000
398,37.000000
399,38.000000
