Heap_Position,Original_Index,Inv_Perm
190,1395,2051
191,1479,1989
192,1318,2085
193,1414,2118
194,1487,2355
195,1338,2345
196,1522,2392
197,1388,2261
198,1271,2058
199,1394,2115
200,1262,2240
201,1324,2154
202,1253,2148
203,1429,2342
204,1531,1876
205,1548,2197
206,1552,2217
207,1503,2228
208,1384,1987
209,1421,2124
210,1540,2268
211,1497,2232
212,1437,2134
213,1307,2177
214,1413,2270
215,1508,2089
216,1551,2152
217,1257,2156
218,1569,1927
219,1426,2263
220,1539,2209
221,1523,2130
222,1362,2176
223,1272,2022
224,1505,2237
225,1281,2399
226,1359,2037
227,1495,2127
228,1464,2045
229,1417,2311
230,1373,2081
231,1472,2252
232,1326,2843
233,1306,2385
234,1504,2009
235,1391,2129
236,1252,2103
237,1541,2016
238,1333,2859
239,1535,2086
240,1493,2523
241,1511,1914
242,1385,2079
243,1433,2106
244,1572,2367
245,1320,2434
246,1337,2241
247,1352,1885
248,1313,1997
249,1268,2569
250,1533,1887
251,1544,2068
252,1409,1606
253,1566,2644
254,1357,2530
255,1478,2542
256,1302,1871
257,1285,2284
258,1353,1790
259,1351,2184
260,1261,2375
261,1550,2315
262,1514,2218
263,1407,1999
264,1264,2286
265,1530,2265
266,1422,2201
267,1344,2039
268,1367,2135
269,1400,1978
270,1368,2055
271,1485,2144
272,1471,2227
273,1319,1971
274,1355,1743
275,1405,2181
276,1311,2034
277,1356,2233
278,1501,2277
279,1375,2183
280,1518,2175
281,1436,2095
282,1543,2393
283,1423,2092
284,1335,2215
285,1512,2308
286,1270,2235
287,1425,2187
288,1510,2041
289,1455,2198
290,1431,2143
291,1494,2306
292,1547,2222
293,1284,2213
294,1336,2276
295,1491,1954
296,1570,2179
297,1411,2251
298,1358,1901
299,1561,2014
300,1401,497
301,1412,490
302,1295,379
303,1446,568
304,1470,421
305,1263,667
306,1428,579
307,1290,441
308,1563,542
309,1325,468
310,1461,335
311,1387,351
312,1288,398
313,1555,654
314,1454,578
315,1398,575
316,1432,611
317,1558,562
318,1383,440
319,1267,473
320,1366,391
321,1545,446
322,1377,592
323,1568,653
324,1380,531
325,4474,353
326,4446,467
327,4404,666
328,4340,452
329,4589,494
330,4612,638
331,4619,403
332,591,378
333,383,572
334,570,589
335,310,620
336,349,547
337,404,511
338,470,383
339,384,596
340,4332,462
341,603,521
342,582,523
343,4573,393
344,4450,621
345,398,536
346,525,419
347,532,459
348,426,631
349,413,336
350,511,584
351,311,458
352,428,407
353,325,566
354,512,658
355,435,372
356,440,537
357,575,479
358,431,386
359,515,582
360,585,451
361,4473,569
362,548,632
363,403,656
364,569,642
365,554,577
366,415,387
367,595,399
368,432,410
369,420,608
370,613,606
371,474,541
372,355,597
373,536,551
374,4333,613
375,527,576
376,517,486
377,456,625
378,332,622
379,302,657
380,608,619
381,453,533
382,408,432
383,338,333
384,607,339
385,524,555
386,358,570
387,366,445
388,500,502
389,501,437
390,526,418
391,320,487
392,436,647
393,343,522
394,537,571
395,597,573
396,430,574
397,611,554
398,312,345
399,367,635
400,461,540
401,510,405
402,466,660
403,331,363
404,602,337
405,401,659
406,562,617
407,352,601
408,587,382
409,477,425
410,368,567
411,493,652
412,566,433
413,545,349
414,449,595
415,572,366
416,584,630
417,604,483
418,390,627
419,346,639
420,427,369
421,304,550
422,508,424
423,590,633
424,422,481
425,409,585
426,547,348
427,513,420
428,530,352
429,489,543
430,541,396
431,465,358
432,382,368
433,412,591
434,471,634
435,560,355
436,503,392
437,389,476
438,499,609
439,4608,514
440,318,356
441,307,520
442,467,637
443,523,454
444,589,505
445,387,525
446,321,664
447,574,552
448,485,526
449,491,414
450,4349,580
451,360,461
452,328,472
453,480,381
454,443,528
455,4425,605
456,559,377
457,4517,469
458,351,510
459,347,549
460,580,558
461,451,400
462,340,530
463,551,583
464,583,477
465,492,431
466,4600,402
467,326,442
468,309,553
469,457,563
470,490,338
471,615,434
472,452,496
473,319,588
474,612,371
475,522,557
476,437,509
477,464,409
478,592,538
479,357,498
480,601,453
481,424,641
482,573,587
483,417,602
484,558,564
485,4613,448
486,376,618
487,391,556
488,557,489
489,488,429
490,301,470
491,586,449
492,556,465
493,581,411
494,329,534
495,496,663
496,472,495
497,300,646
498,479,545
499,544,438
500,538,388
501,505,389
502,388,515
503,605,436
504,550,527
505,444,501
506,563,524
507,606,519
508,553,422
509,476,607
510,458,401
511,337,350
512,552,354
513,614,427
514,439,593
515,502,359
516,594,560
517,531,376
518,519,598
519,507,518
520,441,636
521,341,662
522,393,475
523,342,443
524,506,385
525,445,346
526,448,390
527,504,375
528,454,586
529,588,565
530,462,428
531,324,517
532,565,347
533,381,561
534,494,616
535,610,649
536,345,373
537,356,394
538,478,500
539,549,628
540,400,603
541,371,430
542,308,614
543,429,546
544,577,499
545,498,413
546,543,650
547,336,426
548,600,362
549,459,539
550,421,504
551,373,463
552,447,512
553,468,508
554,397,365
555,385,594
556,487,492
557,475,488
558,460,484
559,598,456
560,516,435
561,533,623
562,317,406
563,469,506
564,484,590
565,529,532
566,353,412
567,410,645
568,303,612
569,361,364
570,386,334
571,394,610
572,333,415
573,395,482
574,396,447
575,315,357
576,375,624
577,365,544
578,314,640
579,306,648
580,450,460
581,4384,493
582,359,342
583,463,464
584,350,416
585,425,360
586,528,491
587,482,408
588,473,529
589,334,444
590,564,423
591,433,332
592,322,478
593,514,599
594,555,516
595,414,367
596,339,604
597,372,395
598,518,559
599,593,668
600,4394,548
601,407,480
602,483,404
603,540,341
604,596,417
605,455,503
606,370,507
607,509,384
608,369,380
609,438,626
610,571,535
611,316,397
612,568,474
613,374,370
614,542,513
615,4307,471
616,534,4248
617,406,4058
618,486,3965
619,380,3817
620,335,3843
621,344,4032
622,378,3788
623,561,4020
624,576,4186
625,377,3736
626,609,3786
627,418,3854
628,539,3695
629,4327,4148
630,416,3777
631,348,3708
632,362,3492
633,423,3691
634,434,4306
635,399,3945
636,520,4297
637,442,3485
638,330,3830
639,419,3841
640,578,3940
641,481,4000
642,364,3687
643,4406,3495
644,4405,3845
645,567,3921
646,497,3848
647,392,3616
648,579,3766
649,535,3822
650,546,3625
651,4565,3359
652,411,3670
653,323,3778
654,313,3780
655,4557,3938
656,363,3698
657,379,3839
658,354,3658
659,405,3542
660,402,3903
661,4337,3840
662,521,3971
663,495,4239
664,446,3431
665,4341,3496
666,327,3752
667,305,3675
668,599,4155
669,4465,3637
670,4511,3862
671,4435,3480
672,4336,3881
673,4487,3810
674,4407,4131
675,4647,3380
676,4566,4063
677,4540,3482
678,4570,3811
679,4596,3739
680,4606,3922
681,4627,3596
682,4445,3887
683,4604,4090
684,4323,3772
685,4621,4033
686,4361,3963
687,4597,3674
688,4476,3929
689,4434,4251
690,4301,4007
691,4610,3375
692,4544,3997
693,4520,3628
694,4331,3773
695,4567,3889
696,4382,3867
697,4447,3745
698,4454,3861
699,4442,3985
700,4377,4233
701,4463,3860
702,4458,3448
703,4306,3910
704,4431,4136
705,4438,4137
706,4497,3570
707,4381,3433
708,4603,3980
709,4339,3747
710,4495,4081
711,4347,4095
712,4639,3461
713,4391,3801
714,4302,3468
715,4308,3643
716,4428,3964
717,4453,3866
718,4620,3769
719,4452,3819
720,4583,3582
721,4522,3800
722,4466,3853
723,4616,3849
724,4631,3827
725,4328,3554
726,4599,3710
727,4468,4126
728,4386,3755
729,4640,3618
730,4587,3825
731,4470,4193
732,4641,3771
733,4441,3762
734,4440,4037
735,4330,3807
736,4387,3995
737,4417,4249
738,4605,3572
739,4514,4065
740,4416,3388
741,4628,4111
742,4462,3802
743,4581,3941
744,4342,3667
745,4443,4035
746,4371,3844
747,4343,3838
748,4448,3928
749,4319,3815
750,4344,4055
751,4390,3779
752,4312,3868
753,4415,3759
754,4379,3665
755,4609,3619
756,4632,3894
757,4622,4159
758,4314,3491
759,4400,3975
760,4545,3918
761,4418,3947
762,4486,3552
763,4602,4068
764,4535,4263
765,4569,3935
766,4572,3607
767,4590,3396
768,4461,4002
769,4393,3805
770,4351,3426
771,4626,3804
772,4399,3812
773,4315,3697
774,4481,4174
775,4504,3746
776,4360,3683
777,4357,3914
778,4527,3727
779,4356,3652
780,4363,3690
781,4358,3422
782,4524,3826
783,4532,3968
784,4398,4019
785,4346,3513
786,4614,3726
787,4456,3882
788,4467,3983
789,4396,3970
790,4562,3347
791,4420,3657
792,4618,3660
793,4373,3734
794,4334,3979
795,4477,3873
796,4494,4013
797,4534,3956
798,4414,3449
799,4595,4100
800,4629,4190
801,4469,3832
802,4354,3738
803,4348,3737
804,4436,3937
805,4646,3484
806,4403,3668
807,4633,3782
808,4430,3796
809,4375,3428
810,4475,3986
811,4537,3949
812,4500,3856
813,4560,3976
814,4594,3899
815,4630,3869
816,4353,4149
817,4617,3829
818,4549,3767
819,4592,4205
820,4380,3907
821,4648,3501
822,4499,4016
823,4409,4097
824,4506,3763
825,4585,4141
826,4533,3799
827,4483,4034
828,4553,4144
829,4543,4123
830,4322,4244
831,4490,3439
832,4546,3590
833,4563,3797
834,4335,3790
835,4516,3988
836,4457,4109
837,4480,4161
838,4580,3701
839,4397,3931
840,4637,3783
841,4638,4124
842,4538,3617
843,4519,3823
844,4472,3757
845,4530,3787
846,4303,4179
847,4584,3821
848,4317,3784
849,4625,4267
850,4531,3933
851,4503,4196
852,4324,3442
853,4555,3626
854,4413,3808
855,4521,4262
856,4558,3603
857,4408,3884
858,4362,4230
859,4367,3792
860,4643,4241
861,4556,3664
862,4444,4234
863,4577,3864
864,4300,3704
865,4345,3680
866,4568,3776
867,4498,3452
868,4539,3540
869,4501,3932
870,4370,3647
871,4611,4130
872,4437,3996
873,4338,3892
874,4449,4015
875,4508,3397
876,4320,4290
877,4526,3756
878,4419,3417
879,4433,3593
880,4586,4156
881,4548,3735
882,4593,3671
883,4329,3622
884,4649,3902
885,4388,3382
886,4507,4077
887,4482,3689
888,4561,3385
889,4392,3794
890,4591,3820
891,4496,4277
892,4402,3943
893,4642,3486
894,4310,3510
895,4368,3610
896,4624,3401
897,4355,3758
898,4313,4092
899,4369,3806
900,4383,3896
901,4529,3753
902,4311,4003
903,4365,3764
904,4421,3634
905,4401,4133
906,4489,4040
907,4412,3886
908,4536,4278
909,4547,3863
910,4525,3852
911,4574,4296
912,4575,3520
913,4364,4223
914,4564,3508
915,4634,3836
916,4478,3897
917,4505,4216
918,4429,4301
919,4423,3398
920,4304,3418
921,4528,3672
922,4644,4184
923,4359,4165
924,4484,3604
925,4424,3358
926,4493,3875
927,4552,3967
928,4352,3526
929,4427,3813
930,4635,1823
931,4601,1175
932,4550,2024
933,4305,988
934,4479,1217
935,4460,1541
936,4523,1403
937,4578,1751
938,4378,1214
939,4309,1544
940,4513,993
941,4376,1412
942,4455,1230
943,2503,1233
944,4518,1312
945,4541,1881
946,4439,1031
947,4389,1435
948,1045,1687
949,4464,1318
950,4422,1053
951,4366,1227
952,4554,1437
953,4615,1111
954,4588,1378
955,1167,1670
956,4410,1018
957,4395,1020
958,4372,1138
959,4645,1913
960,4623,1143
961,4350,1095
962,4459,1037
963,4488,1166
964,4491,1021
965,4579,1848
966,1149,986
967,2332,1808
968,4318,1208
969,4576,1350
970,4432,1114
971,1046,1118
972,2459,1332
973,4502,1201
974,2537,1129
975,4607,1162
976,4512,1130
977,992,1690
978,981,1108
979,1060,1142
980,4542,1075
981,1095,978
982,4426,1363
983,4509,1863
984,4325,1326
985,4515,1393
986,966,992
987,1041,1003
988,933,1125
989,4485,1120
990,4321,1112
991,1069,1094
992,986,977
993,940,1059
994,1112,1165
995,1054,1288
996,1104,1016
997,4385,1060
998,4492,1483
999,1121,1242
1000,4559,1017
1001,1125,1341
1002,1132,1179
1003,987,1246
1004,4374,1035
1005,1178,1314
1006,1209,1468
1007,4510,1097
1008,4471,1275
1009,1115,1164
1010,1019,1088
1011,4411,1464
1012,2300,1107
1013,1075,1649
1014,1039,1022
1015,4326,1089
1016,996,1375
1017,1000,1637
1018,956,1086
1019,1120,1010
1020,957,1402
1021,964,1944
1022,1014,1305
1023,1184,1082
1024,2261,1145
1025,1101,1775
1026,2249,1407
1027,2280,1590
1028,2416,1137
1029,2542,1264
1030,4598,1493
1031,946,1225
1032,4316,1096
1033,1145,1177
1034,1090,1048
1035,1004,1181
1036,2508,1432
1037,962,1621
1038,2319,1211
1039,4582,1014
1040,2334,2116
1041,2233,987
1042,2467,1302
1043,4551,1515
1044,4636,1455
1045,1122,948
1046,1084,971
1047,1139,1294
1048,1034,1371
1049,1096,1136
1050,2569,1516
1051,1066,1354
1052,3792,1262
1053,950,1369
1054,1229,995
1055,2531,1062
1056,1241,1152
1057,1204,1273
1058,1141,1285
1059,993,1953
1060,997,979
1061,3685,1224
1062,1055,1348
1063,1174,1451
1064,3892,1392
1065,1180,1168
1066,2484,1051
1067,1147,1582
1068,2243,1139
1069,3899,991
1070,3708,1191
1071,1190,1445
1072,1186,1203
1073,1081,1827
1074,1135,1243
1075,980,1013
1076,1211,1290
1077,1171,1631
1078,1196,1249
1079,3793,1405
1080,2286,1216
1081,2377,1073
1082,1023,1248
1083,1088,1444
1084,3873,1046
1085,3633,1099
1086,1018,1156
1087,1113,1141
1088,1010,1083
1089,1015,1263
1090,2490,1034
1091,1137,1226
1092,1158,1256
1093,2488,1328
1094,991,1219
1095,961,981
1096,1032,1049
1097,1007,1338
1098,1166,1240
1099,1085,1419
1100,3932,1215
1101,2518,1025
1102,1162,1183
1103,3618,1283
1104,3941,996
1105,3855,1360
1106,3704,1711
1107,1012,1196
1108,978,1197
1109,3910,2082
1110,3638,1750
1111,953,1270
1112,990,994
1113,2380,1087
1114,970,1148
1115,2473,1009
1116,1213,1128
1117,3605,1237
1118,971,1685
1119,2418,1449
1120,989,1019
1121,2534,999
1122,3737,1045
1123,2251,1126
1124,1153,1342
1125,988,1001
1126,1123,1253
1127,3744,1280
1128,1116,1400
1129,974,1257
1130,976,1144
1131,2420,2031
1132,1152,1002
1133,2408,1236
1134,3949,1781
1135,2428,1074
1136,1049,1695
1137,1028,1091
1138,958,1199
1139,1068,1047
1140,1228,1662
1141,1087,1058
1142,979,1195
1143,960,1304
1144,1130,1404
1145,1024,1033
1146,3617,1425
1147,1225,1067
1148,1114,1513
1149,3624,966
1150,2556,1306
1151,3627,1334
1152,1056,1132
1153,2558,1124
1154,2378,1296
1155,2422,1255
1156,1086,1477
1157,2555,1628
1158,1179,1092
1159,2312,1374
1160,3620,1365
1161,3691,1189
1162,975,1102
1163,1187,1589
1164,1009,1724
1165,994,1325
1166,963,1098
1167,1201,955
1168,1065,1316
1169,2440,1298
1170,2554,1337
1171,1197,1077
1172,2566,1317
1173,4571,1190
1174,3808,1063
1175,931,1366
1176,1219,1819
1177,1033,1361
1178,1205,1005
1179,1002,1158
1180,3779,1065
1181,1035,1648
1182,3733,1768
1183,1102,1421
1184,2509,1023
1185,1226,1247
1186,2461,1072
1187,3874,1163
1188,2289,2048
1189,1161,1245
1190,1173,1071
1191,1070,1704
1192,1227,1358
1193,1216,1416
1194,1230,1204
1195,1142,1239
1196,1107,1078
1197,1108,1171
1198,2433,1899
1199,1138,1229
1200,3889,1639
1201,973,1167
1202,2544,1291
1203,1072,1738
1204,1194,1057
1205,2358,1178
1206,1231,1588
1207,2497,1388
1208,968,1712
1209,2388,1006
1210,3772,1235
1211,1038,1076
1212,3801,2004
1213,2338,1116
1214,938,1335
1215,1100,1258
1216,1080,1193
1217,934,1387
1218,2285,1234
1219,1094,1176
1220,2356,1310
1221,3917,1323
1222,3857,1376
1223,1239,1272
1224,1061,1543
1225,1031,1147
1226,1091,1185
1227,951,1192
1228,2367,1140
1229,1199,1054
1230,942,1194
1231,3934,1206
1232,3909,1490
1233,943,1813
1234,1218,1303
1235,1210,1391
1236,1133,1986
1237,1117,1277
1238,1244,1798
1239,1195,1223
1240,1098,1322
1241,3871,1056
1242,999,1300
1243,1074,1297
1244,2507,1238
1245,1189,1397
1246,1003,1456
1247,1185,1349
1248,1082,133
1249,1078,126
1250,4451,131
1251,3945,51
1252,3850,236
1253,1126,202
1254,2546,33
1255,1155,7
1256,1092,3
1257,1129,217
1258,1215,53
1259,3718,77
1260,2458,146
1261,3933,260
1262,1052,200
1263,1089,305
1264,1029,264
1265,2376,27
1266,2495,166
1267,3800,319
1268,2480,249
1269,3886,89
1270,1111,286
1271,2463,198
1272,1223,223
1273,1057,98
1274,3765,107
1275,1008,188
1276,3730,91
1277,1237,102
1278,2295,118
1279,3938,164
1280,1127,165
1281,2250,225
1282,2387,20
1283,1103,29
1284,3743,293
1285,1058,257
1286,2441,154
1287,2310,144
1288,995,312
1289,3799,129
1290,1076,307
1291,1202,68
1292,3839,56
1293,3858,145
1294,1047,60
1295,3740,302
1296,1154,86
1297,1243,117
1298,1169,32
1299,2346,157
1300,1242,101
1301,2448,183
1302,1042,256
1303,1234,124
1304,1143,185
1305,1022,123
1306,1150,233
1307,2446,213
1308,3948,148
1309,3890,114
1310,1220,105
1311,2429,276
1312,944,79
1313,3776,248
1314,1005,136
1315,3644,161
1316,1168,108
1317,1172,57
1318,949,192
1319,2263,273
1320,2236,245
1321,3905,180
1322,1240,73
1323,1221,138
1324,3653,201
1325,1165,309
1326,984,232
1327,3810,130
1328,1093,52
1329,3865,175
1330,3626,58
1331,3647,9
1332,972,36
1333,2327,238
1334,1151,116
1335,1214,284
1336,3696,294
1337,1170,246
1338,1097,195
1339,3806,162
1340,2553,122
1341,1001,160
1342,1124,13
1343,3870,94
1344,2423,267
1345,2548,17
1346,2258,87
1347,3643,120
1348,1062,149
1349,1247,147
1350,969,6
1351,2474,259
1352,3804,247
1353,3802,258
1354,1051,119
1355,3678,274
1356,3836,277
1357,2273,254
1358,1192,298
1359,2385,226
1360,1105,80
1361,1177,42
1362,3640,222
1363,982,177
1364,3723,100
1365,1160,61
1366,1175,320
1367,3686,268
1368,2393,270
1369,1053,170
1370,2362,153
1371,1048,43
1372,3655,65
1373,2551,230
1374,1159,66
1375,1016,279
1376,1222,50
1377,3830,322
1378,954,63
1379,3651,112
1380,2337,324
1381,3796,28
1382,3759,49
1383,3656,318
1384,2472,208
1385,3738,242
1386,2292,182
1387,1217,311
1388,1207,197
1389,3837,178
1390,2406,127
1391,1235,235
1392,1064,4
1393,985,169
1394,3662,199
1395,2561,190
1396,2499,30
1397,1245,173
1398,2383,315
1399,3607,70
1400,1128,269
1401,2411,300
1402,1020,142
1403,936,15
1404,1144,2
1405,1079,275
1406,2288,25
1407,1026,263
1408,2477,24
1409,3623,252
1410,3843,163
1411,2350,297
1412,941,301
1413,3813,214
1414,3732,193
1415,2450,181
1416,1193,179
1417,3699,229
1418,2439,135
1419,1099,128
1420,3675,109
1421,1183,209
1422,3711,266
1423,3695,283
1424,2434,76
1425,1146,287
1426,3853,219
1427,3851,21
1428,3756,306
1429,3700,203
1430,3664,18
1431,3781,290
1432,1036,316
1433,2482,243
1434,3832,158
1435,947,48
1436,3920,281
1437,952,212
1438,3713,23
1439,2278,19
1440,3822,82
1441,3697,83
1442,3667,71
1443,3904,55
1444,1083,64
1445,1071,172
1446,2443,303
1447,2352,67
1448,3770,139
1449,1119,16
1450,2396,96
1451,1063,155
1452,2316,184
1453,3763,134
1454,3946,314
1455,1044,289
1456,1246,150
1457,3913,12
1458,3936,174
1459,3885,69
1460,2430,187
1461,3888,310
1462,2343,176
1463,3709,186
1464,1011,228
1465,3680,5
1466,2464,84
1467,155,62
1468,1006,140
1469,3940,1
1470,2279,304
1471,3725,272
1472,3787,231
1473,3916,95
1474,3758,46
1475,3672,88
1476,3835,0
1477,1156,44
1478,2527,255
1479,2275,191
1480,2552,35
1481,2239,97
1482,2269,159
1483,998,45
1484,2435,41
1485,3778,271
1486,2471,121
1487,2528,194
1488,3676,59
1489,3693,168
1490,1232,171
1491,2541,295
1492,3901,125
1493,1030,240
1494,3838,291
1495,2540,227
1496,2284,152
1497,3769,211
1498,3842,54
1499,2522,78
1500,3707,113
1501,2237,278
1502,3854,110
1503,2257,207
1504,2462,234
1505,3794,224
1506,2303,8
1507,2266,47
1508,3906,215
1509,3739,115
1510,2442,288
1511,3882,241
1512,2479,285
1513,1148,34
1514,3614,262
1515,1043,14
1516,1050,90
1517,3645,26
1518,2349,280
1519,3937,156
1520,3824,92
1521,2241,85
1522,3893,196
1523,3789,221
1524,2438,93
1525,2452,141
1526,3818,81
1527,2502,40
1528,3720,137
1529,2565,151
1530,2340,265
1531,2510,204
1532,3825,74
1533,3798,250
1534,3942,132
1535,3785,239
1536,3642,10
1537,3692,111
1538,3780,75
1539,2287,220
1540,2386,210
1541,935,237
1542,2341,38
1543,1224,282
1544,939,251
1545,2294,321
1546,2397,106
1547,2469,292
1548,2264,205
1549,3877,99
1550,3761,261
1551,3669,216
1552,3726,206
1553,2365,189
1554,3741,22
1555,3688,313
1556,2271,104
1557,3898,39
1558,2245,317
1559,3931,11
1560,2390,31
1561,2414,299
1562,3887,37
1563,2485,308
1564,2302,143
1565,2394,167
1566,3766,253
1567,2456,72
1568,2357,323
1569,3817,218
1570,2431,296
1571,3768,103
1572,3674,244
1573,3668,3564
1574,3619,3837
1575,3859,3370
1576,2524,3406
1577,3728,3441
1578,2487,3950
1579,3907,3331
1580,3719,3732
1581,3805,3925
1582,1067,3424
1583,2328,3521
1584,2417,3355
1585,2560,4024
1586,3654,3612
1587,3767,3544
1588,1206,3699
1589,1163,3474
1590,1027,3651
1591,3610,3430
1592,3911,3405
1593,2313,3538
1594,2244,3580
1595,2322,3550
1596,3753,3334
1597,3866,3478
1598,2253,3654
1599,3750,3942
1600,3862,3545
1601,3856,3599
1602,2318,3498
1603,3869,3413
1604,3827,3505
1605,3628,3729
1606,252,3685
1607,3891,3383
1608,2235,3566
1609,3663,3730
1610,3943,3378
1611,2314,3476
1612,2457,3427
1613,3702,3392
1614,3635,3354
1615,60,3744
1616,2538,3481
1617,2533,3681
1618,3902,3635
1619,2372,3659
1620,3716,3874
1621,1037,3594
1622,2468,3325
1623,3684,3623
1624,2407,3522
1625,3755,3459
1626,2514,3559
1627,3657,3411
1628,1157,3781
1629,2557,3421
1630,2421,3645
1631,1077,3686
1632,3601,3920
1633,3918,3436
1634,2511,3457
1635,2290,3912
1636,2445,3631
1637,1017,3500
1638,2272,3615
1639,1200,3472
1640,3608,3725
1641,2437,3579
1642,2353,3588
1643,2425,3879
1644,3815,3494
1645,2516,3644
1646,2368,3927
1647,3875,3364
1648,1181,3365
1649,1013,3341
1650,3622,3583
1651,3849,3437
1652,2369,3851
1653,2381,3597
1654,2451,3656
1655,2309,3444
1656,2371,3409
1657,3724,3605
1658,3634,3666
1659,3631,3473
1660,3649,4268
1661,2465,3574
1662,1140,3450
1663,3658,3499
1664,3783,3420
1665,2403,3345
1666,3840,3959
1667,2530,3629
1668,3606,3363
1669,2532,3969
1670,955,3511
1671,2398,4036
1672,3722,3692
1673,2347,3410
1674,2444,3343
1675,2315,3565
1676,2260,3740
1677,3705,3609
1678,3689,3528
1679,3757,3774
1680,2256,3533
1681,3826,3517
1682,2547,3367
1683,2317,3911
1684,3786,3569
1685,1118,3537
1686,3641,3395
1687,948,3577
1688,2432,3407
1689,2454,3371
1690,977,3377
1691,3819,3464
1692,2363,3536
1693,3930,3870
1694,2382,3649
1695,1136,3297
1696,2240,3493
1697,3900,3706
1698,2246,3694
1699,3762,3515
1700,2391,3408
1701,2344,4057
1702,3612,3349
1703,2238,3720
1704,1191,3948
1705,3703,3534
1706,3754,3429
1707,3876,3571
1708,3872,3733
1709,2291,3369
1710,3602,3722
1711,1106,3592
1712,1208,3404
1713,3912,3466
1714,3742,3497
1715,2234,3389
1716,2293,3640
1717,2567,3524
1718,2399,3561
1719,2361,3661
1720,3671,3598
1721,2325,3978
1722,2520,3614
1723,2481,4271
1724,1164,3376
1725,2355,3503
1726,180,3835
1727,3615,3711
1728,3828,3353
1729,3812,3340
1730,3735,3567
1731,3880,3700
1732,3811,3488
1733,3860,3416
1734,2504,3327
1735,2570,3716
1736,2549,3362
1737,3829,3502
1738,1203,3391
1739,3777,3601
1740,3636,3366
1741,3712,3387
1742,3883,3372
1743,274,3858
1744,2324,3460
1745,3632,3679
1746,3922,3707
1747,2306,3606
1748,3863,3519
1749,2400,3402
1750,1110,3514
1751,937,3553
1752,2298,3454
1753,3919,3342
1754,3831,3891
1755,3803,3530
1756,3604,3451
1757,3637,3531
1758,2536,3624
1759,2305,3458
1760,2405,4075
1761,3797,4023
1762,3895,3638
1763,121,3724
1764,2426,4004
1765,3714,3824
1766,3690,3373
1767,3717,3556
1768,1182,3549
1769,2364,3419
1770,2563,3555
1771,3908,3578
1772,3701,3613
1773,2242,4086
1774,3814,3898
1775,1025,3469
1776,3784,3471
