Heap_Position,Original_Index,Inv_Perm
0,1476,1893
1,1469,1897
2,1404,2210
3,1256,2067
4,1392,2102
5,1465,2211
6,1350,2214
7,1255,2164
8,1506,2195
9,1331,2163
10,1536,2320
11,1559,2188
12,1457,2072
13,1342,2078
14,1515,2180
15,1403,1906
16,1449,2119
17,1345,2200
18,1430,2105
19,1439,2254
20,1282,2223
21,1427,2185
22,1554,2042
23,1438,2018
24,1408,2151
25,1406,2208
26,1517,2354
27,1265,2128
28,1381,2146
29,1283,2321
30,1396,2033
31,1560,2244
32,1298,2044
33,1254,2207
34,1513,2071
35,1480,2088
36,1332,2199
37,1562,2250
38,1542,2120
39,1557,2080
40,1527,2070
41,1484,2083
42,1361,2131
43,1371,2020
44,1477,2409
45,1483,2492
46,1474,2069
47,1507,2533
48,1435,2161
49,1382,2117
50,1376,2133
51,1251,2761
52,1328,2384
53,1258,2159
54,1498,2296
55,1443,2216
56,1292,1966
57,1317,2189
58,1330,2439
59,1488,2053
60,1294,1615
61,1365,1982
62,1467,2476
63,1378,2114
64,1444,2123
65,1372,2026
66,1374,2169
67,1447,2032
68,1291,2076
69,1459,2101
70,1399,2090
71,1442,2096
72,1567,2005
73,1322,2292
74,1532,2191
75,1538,2581
76,1424,2150
77,1259,2329
78,1499,2212
79,1312,2246
80,1360,2049
81,1526,2098
82,1440,2168
83,1441,2271
84,1466,2202
85,1521,2304
86,1296,1976
87,1346,2065
88,1475,2480
89,1269,2247
90,1516,2155
91,1276,2230
92,1520,2125
93,1524,2278
94,1343,2038
95,1473,2147
96,1450,2178
97,1481,2025
98,1273,2138
99,1549,2324
100,1364,1983
101,1300,1780
102,1277,2167
103,1571,2190
104,1556,2015
105,1310,2174
106,1546,2479
107,1274,2451
108,1316,2287
109,1420,1800
110,1502,2170
111,1537,2140
112,1379,2356
113,1500,2054
114,1309,2242
115,1509,2196
116,1334,2182
117,1297,2136
118,1278,2193
119,1354,2330
120,1347,2066
121,1486,1763
122,1340,2094
123,1305,2624
124,1303,1996
125,1492,2141
126,1249,2166
127,1390,2229
128,1419,2137
129,1289,2186
130,1327,2941
131,1250,2506
132,1534,2236
133,1248,2243
134,1453,2366
135,1418,2012
136,1314,2282
137,1528,2318
138,1323,2205
139,1448,2110
140,1468,2301
141,1525,1980
142,1402,2360
143,1564,2349
144,1287,2108
145,1293,2160
146,1260,2248
147,1349,2226
148,1308,2062
149,1348,2153
150,1456,2171
151,1529,1965
152,1496,2225
153,1370,1956
154,1286,2122
155,1451,1467
156,1519,2194
157,1299,1988
158,1434,2165
159,1482,2064
160,1341,2397
161,1315,2335
162,1339,2374
163,1410,2060
164,1279,2262
165,1280,2343
166,1266,2035
167,1565,1928
168,1489,2099
169,1393,2266
170,1369,2142
171,1490,2077
172,1445,2373
173,1397,2109
174,1458,2158
175,1329,2410
176,1462,2219
177,1363,2029
178,1389,2139
179,1416,2204
180,1321,1726
181,1415,2093
182,1386,2011
183,1301,2298
184,1452,2145
185,1304,2283
186,1463,2172
187,1460,2149
188,1275,2332
189,1553,2107
