Point_ID,Total_Neighbors
0,6.000000
1,7.000000
2,7.000000
3,4.000000
4,7.000000
5,11.000000
6,8.000000
7,9.000000
8,10.000000
9,12.000000
10,13.000000
11,5.000000
12,6.000000
13,6.000000
14,3.000000
15,10.000000
16,6.000000
17,1.000000
18,13.000000
19,6.000000
20,4.000000
21,5.000000
22,7.000000
23,12.000000
24,3.000000
25,5.000000
26,9.000000
27,2.000000
28,8.000000
29,12.000000
30,7.000000
31,7.000000
32,6.000000
33,7.000000
34,7.000000
35,4.000000
36,7.000000
37,5.000000
38,4.000000
39,12.000000
40,4.000000
41,7.000000
42,7.000000
43,11.000000
44,8.000000
45,8.000000
46,11.000000
47,14.000000
48,8.000000
49,10.000000
50,10.000000
51,9.000000
52,8.000000
53,8.000000
54,10.000000
55,11.000000
56,12.000000
57,8.000000
58,13.000000
59,9.000000
60,5.000000
61,5.000000
62,6.000000
63,10.000000
64,6.000000
65,10.000000
66,6.000000
67,9.000000
68,3.000000
69,4.000000
70,10.000000
71,7.000000
72,4.000000
73,6.000000
74,10.000000
75,4.000000
76,1.000000
77,13.000000
78,5.000000
79,6.000000
80,11.000000
81,4.000000
82,3.000000
83,4.000000
84,2.000000
85,5.000000
86,7.000000
87,7.000000
88,6.000000
89,10.000000
90,12.000000
91,6.000000
92,8.000000
93,3.000000
94,4.000000
95,7.000000
96,5.000000
97,9.000000
98,2.000000
99,8.000000
100,12.000000
101,7.000000
102,6.000000
103,7.000000
104,6.000000
105,7.000000
106,4.000000
107,7.000000
108,7.000000
109,7.000000
110,4.000000
111,8.000000
112,7.000000
113,4.000000
114,4.000000
115,5.000000
116,7.000000
117,3.000000
118,12.000000
119,5.000000
120,4.000000
121,11.000000
122,8.000000
123,7.000000
124,8.000000
125,11.000000
126,14.000000
127,3.000000
128,9.000000
129,6.000000
130,3.000000
131,9.000000
132,8.000000
133,10.000000
134,9.000000
135,10.000000
136,10.000000
137,8.000000
138,8.000000
139,12.000000
140,11.000000
141,8.000000
142,13.000000
143,3.000000
144,4.000000
145,8.000000
146,5.000000
147,6.000000
148,9.000000
149,5.000000
150,6.000000
151,10.000000
152,10.000000
153,5.000000
154,6.000000
155,3.000000
156,6.000000
157,9.000000
158,10.000000
159,8.000000
160,4.000000
161,7.000000
162,6.000000
163,4.000000
164,1.000000
165,6.000000
166,10.000000
167,4.000000
168,9.000000
169,13.000000
170,6.000000
