Heap_Position,Original_Index,Inv_Perm
0,766,192
1,407,483
2,675,579
3,584,387
4,507,249
5,744,453
6,541,552
7,735,56
8,626,96
9,569,385
10,746,555
11,529,729
12,741,750
13,754,383
14,588,73
15,729,347
16,418,177
17,433,85
18,481,338
19,530,146
20,502,284
21,587,245
22,545,57
23,624,752
24,655,129
25,345,270
26,340,339
27,561,75
28,684,539
29,514,191
30,687,546
31,671,657
32,447,547
33,618,178
34,524,682
35,464,121
36,627,49
37,466,171
38,516,150
39,494,548
40,505,52
41,511,577
42,475,168
43,698,674
44,405,375
45,691,554
46,630,90
47,503,559
48,100,370
49,36,746
50,311,470
51,265,722
52,40,769
53,179,354
54,213,265
55,164,377
56,7,578
57,22,531
58,242,734
59,129,460
60,250,186
61,159,255
62,121,741
63,167,155
64,157,462
65,328,761
66,137,159
67,170,694
68,271,726
69,118,350
70,207,767
71,338,148
72,105,346
73,14,456
74,94,760
75,27,459
76,321,343
77,360,471
78,127,685
79,391,574
80,119,254
81,244,175
82,92,753
83,113,568
84,395,534
85,17,446
86,369,765
87,146,536
88,247,445
89,387,723
90,46,190
91,150,358
92,339,82
93,111,736
94,235,74
95,364,697
96,8,667
97,768,448
98,518,251
99,448,739
100,733,48
101,597,743
102,414,550
103,504,345
104,525,361
105,532,72
106,710,352
107,654,673
108,625,378
109,662,149
110,593,269
111,406,93
112,463,654
113,731,83
114,590,277
115,579,166
116,527,163
117,495,656
118,600,69
119,468,80
120,611,762
121,35,62
122,454,542
123,536,733
124,674,170
125,465,147
126,282,183
127,296,78
128,133,688
129,24,59
130,266,766
131,216,364
132,745,672
133,508,128
134,709,629
135,437,749
136,427,538
137,610,66
138,432,651
139,628,282
140,716,655
141,572,349
142,690,683
143,559,474
144,201,452
145,222,185
146,19,87
147,125,662
148,71,262
149,109,738
150,38,91
151,186,248
152,277,167
153,245,553
154,264,444
155,63,545
156,388,348
157,270,64
158,263,744
159,66,61
160,294,735
161,188,755
162,392,278
163,116,363
164,272,55
165,192,543
166,115,466
167,152,63
168,42,365
169,361,252
170,124,67
171,37,441
172,363,475
173,320,379
174,374,376
175,81,436
176,348,549
177,16,465
178,33,356
179,349,53
180,382,342
181,255,455
182,386,384
183,126,732
184,223,562
185,145,268
186,60,151
187,196,246
188,330,161
189,269,740
190,90,344
191,29,362
192,0,165
193,767,369
194,488,368
195,482,464
196,458,187
197,753,372
198,761,658
199,682,573
200,637,540
201,435,144
202,551,650
203,423,756
204,609,247
205,509,454
206,764,478
207,419,70
208,677,535
209,565,374
210,540,659
211,623,686
212,717,439
213,613,54
214,750,371
215,515,725
216,429,131
217,567,689
218,683,482
219,415,560
220,483,274
221,652,745
222,700,145
223,724,184
224,648,317
225,408,684
226,720,757
227,580,273
228,673,440
229,492,437
230,657,447
231,578,253
232,440,280
233,696,661
234,428,287
235,734,94
236,480,281
237,426,275
238,631,355
239,438,286
240,721,279
241,443,357
242,728,58
243,278,759
244,289,81
245,21,153
246,187,442
247,204,88
248,151,628
249,4,691
250,358,60
251,98,481
252,169,360
253,231,556
254,80,631
255,61,181
256,397,571
257,285,272
258,394,373
259,273,728
260,286,652
261,372,563
262,148,359
263,290,158
264,322,154
265,54,51
266,288,130
267,359,569
268,185,341
269,110,189
270,25,157
271,373,68
272,257,164
273,227,259
274,220,737
275,237,742
276,381,463
277,114,152
278,162,243
279,240,337
280,232,380
281,236,480
282,139,126
283,287,557
284,20,340
285,325,257
286,239,260
287,234,283
288,295,266
289,305,244
290,399,263
291,403,467
292,669,565
293,765,576
294,661,160
295,679,288
296,558,127
297,442,537
298,592,748
299,506,473
300,513,687
301,409,730
302,445,663
303,758,567
304,749,551
305,552,289
306,574,479
307,520,438
308,621,381
309,711,696
310,706,533
311,656,50
312,739,670
313,462,764
314,719,435
315,583,541
316,333,434
317,224,668
318,385,558
319,439,353
320,420,173
321,413,76
322,663,264
323,576,692
324,604,366
325,517,285
326,712,382
327,615,751
328,681,65
329,645,351
330,470,188
331,411,665
332,740,747
333,555,316
334,533,666
335,577,544
336,522,671
337,279,758
338,18,71
339,26,92
340,284,26
341,268,458
342,180,451
343,76,693
344,190,681
345,103,25
346,72,367
347,15,695
348,156,176
349,141,179
350,69,476
351,329,449
352,106,754
353,319,724
354,53,472
355,238,731
356,178,566
357,241,690
358,91,250
359,262,267
360,252,77
361,104,169
362,191,727
363,163,172
364,131,95
365,168,575
366,324,564
367,346,570
368,194,630
369,193,86
370,48,468
371,214,477
372,197,261
373,258,271
374,209,174
375,44,653
376,174,763
377,55,669
378,108,450
379,173,457
380,280,660
381,308,276
382,326,180
383,13,469
384,182,443
385,9,318
386,769,182
387,3,89
388,402,156
389,547,461
390,760,664
391,451,79
392,651,162
393,658,572
394,566,258
395,606,84
396,762,561
397,759,256
398,554,768
399,665,290
400,752,484
401,678,580
402,498,388
403,537,291
404,459,507
405,557,44
406,614,111
407,556,1
408,685,225
409,647,301
410,535,600
411,703,331
412,538,636
413,531,321
414,460,102
415,694,219
416,713,615
417,455,502
418,563,16
419,715,207
420,477,320
421,664,622
422,441,486
423,622,203
424,553,509
425,755,675
426,467,237
427,575,136
428,619,234
429,546,216
430,742,718
431,446,495
432,640,138
433,560,17
434,316,505
435,314,201
436,175,599
437,229,135
438,307,239
439,212,319
440,228,232
441,171,422
442,246,297
443,384,241
444,154,638
445,88,302
446,85,431
447,230,32
448,97,99
449,351,584
450,378,529
451,342,391
452,144,635
453,5,715
454,205,122
455,181,417
456,73,621
457,379,518
458,341,196
459,75,404
460,59,414
461,389,698
462,64,313
463,276,112
464,195,35
465,177,125
466,166,37
467,291,426
468,370,119
469,383,503
470,50,330
471,77,704
472,354,613
473,299,699
474,143,679
475,172,42
476,350,608
477,371,420
478,206,492
479,306,528
480,281,236
481,251,18
482,218,195
483,1,220
484,400,593
485,649,510
486,422,515
487,605,516
488,748,194
489,670,676
490,692,532
491,672,589
492,478,229
493,586,624
494,582,39
495,431,117
496,747,500
497,612,633
498,689,402
499,636,626
500,496,501
501,500,627
502,417,20
503,469,47
504,756,103
505,434,40
506,686,299
507,404,4
508,616,133
509,424,205
510,485,603
511,688,41
512,543,643
513,568,300
514,642,29
515,486,215
516,487,38
517,738,325
518,457,98
519,667,623
520,603,307
521,601,607
522,523,336
523,727,522
524,589,34
525,653,104
526,702,707
527,528,116
528,479,527
529,450,11
530,617,19
531,57,413
532,490,105
533,310,334
534,84,618
535,208,410
536,87,123
537,297,403
538,136,412
539,28,611
540,200,210
541,315,6
542,122,596
543,165,512
544,335,646
545,155,22
546,30,429
547,32,389
548,39,678
549,176,609
550,102,604
551,304,202
552,6,305
553,153,424
554,45,398
555,10,333
556,253,407
557,283,405
558,318,296
559,47,143
560,219,433
561,396,27
562,184,588
563,261,418
564,366,583
565,292,209
566,356,394
567,303,217
568,83,513
569,267,9
570,367,711
571,256,590
572,393,141
573,199,605
574,79,306
575,365,427
576,293,323
577,41,335
578,56,231
579,2,115
580,401,227
581,726,716
582,676,494
583,564,315
584,449,3
585,737,601
586,659,493
587,751,21
588,562,14
