Heap_Position,Original_Index,Inv_Perm
589,491,524
590,571,114
591,668,642
592,646,298
593,484,110
594,695,709
595,596,645
596,542,595
597,722,101
598,680,703
599,436,680
600,410,118
601,585,521
602,602,602
603,510,520
604,550,324
605,573,487
606,730,395
607,521,649
608,476,648
609,549,204
610,650,137
611,539,120
612,693,497
613,472,213
614,743,406
615,416,327
616,697,508
617,763,530
618,534,33
619,723,428
620,732,706
621,456,308
622,421,423
623,519,211
624,493,23
625,704,108
626,499,8
627,501,36
628,248,139
629,134,700
630,368,46
631,254,238
632,639,647
633,497,721
634,634,634
635,452,712
636,412,499
637,705,200
638,444,705
639,718,632
640,708,432
641,641,641
642,591,514
643,512,713
644,757,717
645,595,329
646,544,592
647,632,409
648,608,224
649,607,485
650,202,610
651,138,392
652,260,221
653,375,525
654,112,107
655,140,24
656,117,311
657,31,230
658,198,393
659,210,586
660,380,677
661,233,294
662,147,109
663,302,322
664,390,421
665,331,399
666,334,708
667,96,519
668,317,591
669,377,292
670,312,489
671,336,31
672,132,491
673,107,228
674,43,124
675,425,2
676,489,582
677,660,208
678,548,401
679,474,295
680,599,598
681,344,328
682,34,199
683,142,218
684,225,28
685,78,408
686,211,506
687,300,30
688,128,511
689,217,498
690,357,142
691,249,45
692,323,490
693,343,612
694,67,415
695,347,594
696,309,233
697,95,616
698,461,43
699,473,701
700,629,222
701,699,720
702,725,526
703,598,411
704,471,625
705,638,637
706,620,310
707,526,714
708,666,640
709,594,134
710,736,106
711,570,309
712,635,326
713,643,416
714,707,719
715,453,419
716,581,140
717,644,212
718,430,639
719,714,314
720,701,226
721,633,240
722,51,597
723,89,619
724,353,223
725,215,702
726,68,581
727,362,523
728,259,242
729,11,15
730,301,606
731,355,113
732,183,620
733,123,100
734,58,235
735,160,7
736,93,710
737,274,585
738,149,517
739,99,312
740,189,332
741,62,12
742,275,430
743,101,614
744,158,5
745,221,132
746,49,10
747,332,496
748,298,488
749,135,304
750,12,214
751,327,587
752,23,400
753,82,197
754,352,13
755,161,425
756,203,504
757,226,644
758,337,303
759,243,397
760,74,390
761,65,198
762,120,396
763,376,617
764,313,206
765,86,293
766,130,0
767,70,193
768,398,97
769,52,386
